season_id,team_name,team_id,player_name,player_id,game_type,GS,GP,PG_Min,SG_Min,SF_Min,PF_Min,C_Min,Min,OEPM,DEPM,EPM,PLUS,Poss,player_PLUS_per_Poss,team_Poss,team_PLUS,team_PLUS_per_Poss,RAPM,pRAPM,RAPM_abs_diff
2050,Michigan,7,Jabari Bull,231385,College,41,41,25.194,2.512,0.122,0.0,0.0,27.904,-1.8,1.3,-0.5,-1.415,51.281,-0.028,73.803,-1.7802,-0.0242,-0.9,0.2,1.1
2050,Michigan,7,Ricky Parker,223531,College,24,41,6.633,20.341,1.465,0.073,0.0,28.462,1.7,-2.4,-0.7,-1.902,52.373,-0.036,73.803,-1.7802,-0.0242,-1.3,-0.1,1.2
2050,Michigan,7,Alton Lien,235260,College,0,40,0.0,0.1,0.051,4.526,14.301,18.925,-3.2,-0.9,-4.1,-2.424,34.746,-0.07,73.803,-1.7802,-0.0242,-1.5,-1.5,0.0
2050,Michigan,7,Jose Luis Moya,233862,College,0,38,0.0,3.762,6.237,6.263,0.025,16.369,-3.1,-2.4,-5.5,-0.473,30.016,-0.016,73.803,-1.7802,-0.0242,-0.6,0.3,0.9
2050,Presbyterian,179,Rafael Brock,223563,College,42,42,0.0,0.0,26.499,0.049,0.215,26.74,3.1,-0.4,2.7,2.119,51.001,0.042,76.345,2.4286000000000003,0.0318,3.6,1.7,1.9
2050,Presbyterian,179,Stewart Hansson,231284,College,40,40,0.0,0.0,0.0,28.251,0.827,29.074,1.3,-2.0,-0.7,4.224,55.537,0.076,76.345,2.4286000000000003,0.0318,3.6,2.8,0.8
2050,Presbyterian,179,Denny Robinson,221108,College,37,37,0.0,0.0,0.0,0.0,29.108,29.108,2.9,2.8,5.7,5.324,55.686,0.096,76.345,2.4286000000000003,0.0318,4.1,3.8,0.3
2050,Presbyterian,179,Arnie Benjamin,233501,College,41,41,0.0,29.635,0.0,0.0,0.0,29.635,-1.1,0.1,-1.1,2.608,56.411,0.046,76.345,2.4286000000000003,0.0318,-0.1,1.7,1.8
2050,Presbyterian,179,Ray Freeman,221445,College,42,42,28.834,0.0,0.0,0.0,0.0,28.834,2.1,1.7,3.8,4.405,55.035,0.08,76.345,2.4286000000000003,0.0318,2.6,3.1,0.5
2050,Presbyterian,179,Brad Ross,234734,College,0,42,0.0,0.0,11.143,5.763,0.0,16.833,-2.2,-1.7,-3.9,-0.166,32.1,-0.005,76.345,2.4286000000000003,0.0318,-2.0,-0.3,1.7
