,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
322,79.0,200,78.0,29.5,7,10,10,9,8,9,8,18,12,6,5,9,7,10,11,7.001,3.396257873286403,7.626343090033347,0.512,1.017969618377177,3.3353093738421644,0.305,2.380881808077066,4.293627269359022,0.555,1.2643571693219715,1.7597258243793998,0.718,1.4225639125602076,4.673602080624187,6.096165993184395,1.3278992219340497,1.115734720416125,0.46553966189856955,1.357725083364209,2.3237971391417425,2.119,10.511,3.336606150426084,0.2775101889588737,1.8842163764357174,0.12319377547239721,0.12319377547239721,1.0,1.5133382734346057,2.963134494257133,0.511,0.710633567988144,1.2034086698777329,0.591,43.184,43.064,10.713914174252277,5.0156046814044215,9.00780234070221,0.595,0.680104031209363,1.7334200260078023,0.392,4.335500650195058,7.276983094928479,0.596,0.4954486345903772,0.6514954486345904,0.76,3.065019505851756,5.171651495448635,0.593,0.7737321196358908,1.4564369310793241,0.531,-0.2,-2.0,-2.2,2.7,-1.5,1.2,0.54,0.437,0.231,5.2,18.3,11.5,7.1,2.0,1.7,13.9,15.4
323,76.5,200,80.0,43.0,15,14,6,6,10,13,13,13,5,10,12,12,15,14,11,17.353,6.240818224081823,10.766155276615528,0.58,0.0,0.12273361227336124,0.0,6.240818224081823,10.641562064156208,0.586,3.6559739655973966,4.668526266852626,0.783,2.2305904230590423,6.871786371396841,9.102376794455882,0.5160390516039053,1.546453612690414,0.8864725090752373,0.9521152952115295,1.7738732616154753,11.555,4.159,10.99116689911669,0.3300790330079033,3.676429567642957,0.2463970246397025,0.5169688516968852,0.477,5.228265922826593,8.410041841004185,0.622,0.7438400743840076,1.7136215713621572,0.434,60.228,60.329,6.806809328846824,3.2172918496908625,6.8476520413068345,0.497,0.37129738600009954,1.0507716023802816,0.353,2.8432097332957618,5.796880438926553,0.49,0.18564869300004977,0.34994778630509377,0.531,2.329891097150624,4.4759899882312,0.521,0.32859818661008805,0.9690861774602596,0.339,3.3,1.8,5.1,9.3,9.5,18.8,0.629,0.011,0.434,8.9,25.5,17.5,3.1,2.8,2.9,6.9,21.8
324,83.5,275,88.0,32.0,19,14,8,4,15,10,12,10,13,10,13,16,16,14,13,19.547,8.209974135732761,12.410331135477762,0.664,0.04895996502859641,0.07241994827146551,0.676,8.161014170704165,12.338931186477724,0.661,3.4710575206732,4.225856981530728,0.821,1.7962187169866308,7.475443037974685,9.271661754961317,0.8006994280718372,1.278987341772152,1.5200000000000002,1.2637790973006449,2.7240506329113927,12.046,3.421,14.96032931405049,0.09893992932862192,3.085497796073003,0.21929984335725472,0.3151797748715894,0.696,7.260354814032277,10.589632435976833,0.686,0.6813595133146334,1.4330989763578743,0.475,54.902,55.3,9.113924050632912,4.459746835443038,8.751392405063292,0.521,0.19240506329113927,0.6278481012658229,0.306,4.2663291139240505,8.125569620253165,0.525,0.38481012658227853,0.5063291139240507,0.76,3.4724050632911396,6.847594936708861,0.507,0.41113924050632916,0.7736708860759495,0.531,4.2,1.3,5.5,5.2,4.3,9.5,0.699,0.006,0.341,8.0,30.4,19.7,5.3,2.3,5.1,8.1,25.3
325,83.0,270,87.0,33.0,0,5,1,1,6,7,3,2,0,5,1,5,5,0,4,1.807,1.704901162042794,4.026928519360234,0.423,0.0,0.07684061575404143,0.0,1.704901162042794,3.9500879036061924,0.432,0.9292911967754385,1.7000986235581663,0.547,1.471978045538356,5.923237486687967,7.395215532226322,0.0,0.3077316293929712,0.925580404685836,3.1768792075811496,2.385516506922258,-7.225,4.018,2.7926761288109434,0.15608250075039665,2.2475880108057114,0.0,0.0,,1.3927361605420008,3.0207967068307533,0.461,0.30976373225847953,0.9268899275331247,0.334,23.321,23.475,8.234802981895633,4.002896698615549,7.38555910543131,0.558,0.231395101171459,0.694185303514377,0.333,3.766730564430245,6.696144834930777,0.563,0.3077316293929712,0.38406815761448354,0.801,2.922257720979766,5.236208732694356,0.558,0.5367412140575081,1.0758679446219384,0.499,-5.7,0.0,-5.7,-15.5,-9.9,-25.4,0.454,0.019,0.422,5.9,22.4,14.4,0.0,0.6,3.0,40.0,13.0
326,81.0,245,86.0,32.0,13,8,7,8,9,12,9,18,11,9,12,11,15,11,13,3.975,3.8217943971368626,6.233740589904975,0.622,0.11518367682751246,0.11518367682751246,1.0,3.7158254144555514,6.127771607223663,0.606,1.4029371837591016,2.3589617014274546,0.595,0.8408408408408409,6.017614618487119,6.85845545932796,1.4029371837591016,1.2399374434109807,1.4588855049798342,1.239376362664034,2.417647543007655,3.245,2.926,7.30725245793739,0.11518367682751246,2.3013698630136985,0.0,0.0,,3.6559299025052447,5.673947920523264,0.644,0.05298449134065573,0.4469126660907483,0.119,24.309,24.298,8.488270639558813,4.0447773479298705,9.274178944769117,0.457,0.39180179438636936,1.0094657996542928,0.388,3.6506708371059355,8.257798995802125,0.442,0.2258622108815541,0.3364885998847642,0.671,2.982303070211541,6.914149312700635,0.431,0.4517244217631082,1.0094657996542928,0.447,0.6,1.0,1.6,5.7,6.2,11.9,0.63,0.018,0.378,3.7,24.8,14.7,7.3,2.2,4.9,14.6,14.0
327,78.0,210,84.0,31.0,10,10,16,10,16,11,8,18,12,6,5,13,9,13,11,12.976,4.717386053893661,9.18938688196529,0.548,0.6298864851809682,1.684849739502467,0.374,4.087499568712694,7.5055032260290515,0.545,2.4702756788462206,3.4836973398198943,0.709,2.606493461684436,8.316487158243579,10.922980619928015,0.9660835662284788,1.3271195802264568,1.0564761115713892,1.347686574888728,2.2705053852526933,0.161,6.174,7.5055032260290515,0.0,2.764931166545906,0.0,0.0,,3.75323465479764,6.425421798985613,0.584,0.33716316461373913,1.0781492599109823,0.313,57.966,57.936,8.36288318144159,4.022921844794256,7.866059099696217,0.531,0.3141397404032036,0.8099972383319526,0.388,3.708782104391053,7.058961612814141,0.525,0.29287489643744824,0.47169290251311796,0.621,2.921982877658106,5.732808616404309,0.51,0.49489091411212377,0.8544600938967137,0.579,1.7,2.1,3.8,4.0,4.5,8.6,0.585,0.183,0.379,9.7,33.0,21.0,5.9,2.4,3.5,11.2,19.1
328,81.5,210,90.0,34.0,2,6,7,4,6,7,8,10,4,7,2,11,9,7,7,4.0,1.985851394583878,5.421349074032352,0.41,0.4731221556346596,1.8937502816203309,0.25,1.515252557112603,3.5339070878204843,0.429,0.5980264047222098,0.8844230162663903,0.676,1.985851394583878,6.432771602724992,8.418622997308871,0.474383814716352,0.5960917891717461,0.5634636070276086,2.648222412472401,2.5424883470778057,-16.048,9.801,2.2722480061280588,0.0643446131663137,1.3537601946559725,0.0,0.029018158878925785,0.0,1.10269003739918,2.207903392961745,0.499,0.3784977245077276,1.2919388996530439,0.293,44.386,44.624,10.542667622803872,5.1150950161348145,8.910003585514522,0.592,0.31373252061670853,0.9738257439942631,0.322,4.798852635353173,7.938687701685191,0.604,0.8144496235209754,1.067945500179276,0.763,3.7961634994621725,6.211903908210829,0.611,0.18698458228755827,0.6588382932950878,0.284,-4.5,-0.6,-5.1,-10.7,-9.3,-19.9,0.434,0.349,0.163,8.1,24.1,16.5,2.9,1.1,1.6,31.3,13.8
329,82.5,235,89.0,28.0,7,13,11,6,13,16,13,14,9,13,5,8,15,13,12,11.852,4.587498688306692,8.57462660463815,0.539,0.07247542761201861,0.11948651579278746,0.607,4.516982056035539,8.454160691174929,0.534,2.3652453740949317,3.2496414704956456,0.728,2.387771520514884,6.93803586024591,9.325807380760793,0.7169190947567247,1.3303420810072872,0.9972696127023879,1.6972961628598415,2.0890071477017793,7.756,3.948,8.360138514813391,0.23897303158557492,2.5542691244884397,0.09402217636153767,0.14299205988317185,0.658,4.061562139284341,7.3112036097799855,0.556,0.334954003287978,1.0019238168526359,0.334,57.178,57.501,4.990243647936557,2.4250013043251424,6.437453261682407,0.388,0.14218883149858264,0.6875706509452011,0.207,2.2808646806142505,5.745987026312586,0.397,0.14218883149858264,0.28437766299716527,0.5,1.781255978156902,4.703918192727083,0.379,0.35741987095876593,0.7606128589068017,0.47,0.5,3.4,3.9,1.9,10.1,12.0,0.58,0.014,0.379,9.8,26.3,18.4,4.2,2.4,3.4,14.5,18.8
330,78.5,225,81.25,25.0,11,17,7,12,14,13,9,13,11,7,10,10,7,16,12,12.245,4.642447678165597,9.813914046334927,0.485,0.2326922424612462,0.7807062175638546,0.298,4.411654964214239,9.033207828771074,0.488,2.110376174485262,2.7647637461415826,0.763,2.1322207523489705,6.47898444678896,8.611205199137931,0.8652352362538585,1.5904434536977168,0.46598373208998406,1.1188222923238695,2.7110914474355927,9.445,6.21,7.4319052949357225,0.043689155727417654,2.152165801702792,0.0,0.019945049353821107,0.0,3.6708388453580274,7.428106237915947,0.494,0.6980767273837387,1.5823072487364742,0.441,58.962,58.766,8.912772691692478,4.339652179831877,8.260014293979513,0.54,0.2334683320287241,0.8481094510431204,0.275,4.109042643705545,7.412857774903858,0.554,0.3163734131981078,0.4650308001225198,0.68,3.429602150903585,6.076847156519077,0.564,0.35925535173399586,0.8700268862947964,0.413,0.8,0.5,1.3,6.5,5.9,12.3,0.527,0.08,0.282,8.1,26.9,17.1,4.9,2.8,1.6,9.2,19.4
331,78.0,230,78.25,34.0,11,10,6,12,14,12,12,12,10,11,10,8,8,12,12,7.163,3.5500065942761685,6.212511539983295,0.578,0.08493427704752275,0.3421989712929178,0.248,3.466303248780059,5.8666197740361365,0.591,1.6285224425198928,2.6071130258935247,0.625,2.7191277970721415,6.48721071863581,9.206338515707953,2.0913527058513215,0.6808769792935446,0.39585870889159563,2.3461555369938893,2.236297198538368,1.721,4.93,6.125115399832945,0.11324570273003036,2.1750560513474304,0.14278805996395133,0.22772233701147404,0.627,2.921000571503935,4.63815008572559,0.63,0.40128368576075973,1.0032092144018991,0.4,45.494,45.976,6.347137637028015,3.0889159561510358,7.107186358099879,0.447,0.17052375152253352,0.8489646772228989,0.201,2.917174177831913,6.260657734470159,0.466,0.36784409257003653,0.651644336175396,0.564,2.210718635809988,4.900121802679658,0.451,0.33982947624847754,0.7076735688185141,0.48,0.2,2.1,2.2,-4.6,0.9,-3.7,0.599,0.055,0.42,10.5,23.9,17.4,11.8,1.2,1.3,24.2,15.4
332,80.5,250,88.0,25.5,13,12,8,11,11,6,7,4,10,8,13,7,6,8,10,12.316,5.061740067696613,9.789913582814894,0.525,0.15460544976646556,0.33568443545184656,0.461,4.908193559366905,9.452111264489535,0.519,2.764896091371518,4.288712818864285,0.645,2.3508499895996824,7.885320842033977,10.23617083163366,1.0589414367566137,0.5383298530767351,1.2336286848392501,1.7048957131781481,2.647402976089697,-0.048,4.315,9.194788495357676,0.052947071837830685,3.3557854130817093,0.0783616663199894,0.10271731936539154,0.763,4.520620993513984,8.47153149405291,0.534,0.30815195809617457,0.8768035096344762,0.351,52.883,53.157,8.172921722444835,3.8799781778505182,8.606956750757192,0.475,0.41191188366536874,1.1051037492710276,0.373,3.4680662941851503,7.502906484564592,0.462,0.3602912128223941,0.6942453486840869,0.519,2.7506443177756466,5.985890851628198,0.46,0.35923772974396606,0.8217168011738812,0.437,1.2,2.3,3.4,-0.5,1.1,0.6,0.558,0.034,0.438,9.1,29.3,19.4,6.5,1.0,4.1,12.7,21.3
333,79.0,205,82.0,29.5,8,7,11,9,4,5,5,14,9,7,9,6,3,11,10,6.416,2.681910984075133,6.345991561181435,0.431,0.10562134204437186,0.476929358922009,0.221,2.57411188240098,5.867973322444536,0.439,1.5135429426976998,2.176670749965973,0.695,1.4079216006533277,5.202257503856894,6.610179104510221,1.1966789165645841,0.15857207022477396,0.3204249419024743,1.725874506601334,3.121135782217275,-9.05,4.782,4.567850823465361,0.0,2.470668299986389,0.0,0.07948822648700149,0.0,2.284469851640125,5.153668163876412,0.443,0.2907309105757452,0.6369946917109024,0.456,51.429,51.207,10.827738395141289,5.361923174565978,9.389653758275237,0.577,0.10498564649364345,0.6386626828363309,0.164,5.254750327103716,8.749897474954595,0.601,0.4254105883961178,0.5052434237506591,0.842,4.426894760481965,7.309625637119926,0.606,0.39916417677270694,0.9339348135997032,0.427,-1.8,-1.5,-3.3,-2.7,-6.9,-9.6,0.478,0.075,0.343,5.5,21.0,13.1,6.7,0.3,1.0,19.1,14.6
334,81.0,240,82.0,27.0,13,14,4,10,14,14,12,12,8,8,5,10,10,14,11,12.628,4.938956674872864,9.94533594494061,0.511,0.2797534546892128,0.7265539362791785,0.385,4.6561842980107455,9.22079462344337,0.505,2.55199554349584,3.5341515570809903,0.722,2.1766428866646303,6.4655437000126375,8.642186586677267,0.7949828388650292,0.8694867211901282,0.6106627669753922,1.7560063972398428,2.750004513531568,2.093,5.975,7.583532498337795,0.09559920214199717,2.5499829287139035,0.04830275476648278,0.04830275476648278,1.0,3.720318424410143,7.042139121996803,0.528,0.8654243562328164,2.129346439289116,0.406,55.649,55.389,8.983011067179403,4.421238874144686,8.182274458827566,0.549,0.14053331889003234,0.39935727310476815,0.352,4.280705555254654,7.781906154651646,0.55,0.4933831627218401,0.8704977522612793,0.567,3.5972485511563668,6.490819476791421,0.554,0.18805177923414396,0.4226109877412483,0.445,0.4,0.3,0.8,-1.0,-0.8,-1.8,0.552,0.073,0.355,8.3,25.9,16.9,4.7,1.6,2.0,13.2,20.9
335,79.5,200,84.0,31.5,13,12,8,11,15,15,8,11,6,6,13,14,9,11,12,13.555,5.7329458973294605,9.985886259858864,0.574,0.0,0.07305936073059363,0.0,5.7329458973294605,9.91282689912827,0.578,3.542272035422721,4.526359485263597,0.783,1.8929016189290164,7.521978021978023,9.41487964090704,0.5656565656565657,1.0241758241758243,1.197802197802198,1.281859692818597,2.662637362637363,6.646,3.083,11.070707070707071,0.05092016050920161,3.2467137124671375,0.046492320464923215,0.17047184170471844,0.273,5.486093814860939,9.151238411512384,0.599,0.19593192195931924,0.5889027258890274,0.333,50.589,50.96,7.447252747252747,3.6142857142857143,8.402197802197803,0.443,0.21978021978021983,0.9296703296703297,0.236,3.3945054945054944,7.473626373626375,0.454,0.2681318681318681,0.3901098901098901,0.687,2.883516483516484,6.2736263736263735,0.46,0.24505494505494504,0.8021978021978023,0.305,2.2,2.5,4.7,4.2,6.9,11.1,0.626,0.007,0.453,7.2,29.0,18.1,3.4,1.8,4.0,9.7,21.0
336,79.0,240,82.25,25.0,13,10,8,8,8,14,11,10,6,14,11,11,12,11,11,6.14,3.959507318143354,7.223994734697715,0.548,0.0,0.0,,3.959507318143354,7.223994734697715,0.548,2.855548939104272,3.999874635659887,0.714,1.2654276491052119,6.156196199956178,7.42162384906139,0.531795530761275,1.3059129182708864,0.9781200112686639,0.8178769549001789,2.282280026293549,8.675,4.414,7.0221581471150545,0.08424483655624158,2.7362020873162627,0.03685711599335569,0.1632243708277181,0.226,3.4698342056602,6.246403610492996,0.555,0.4475506942050334,0.8143667533770022,0.55,31.907,31.947,5.828403292953957,2.8169155163239115,6.482236203712399,0.45,0.2015838732901368,0.6520800075124425,0.309,2.60832003004977,5.828403292953957,0.448,0.3260400037562213,0.48906000563433194,0.667,1.9141703446332992,4.773155538861239,0.401,0.3663567784142487,0.5679406517043855,0.645,1.1,2.0,3.1,9.3,11.4,20.7,0.6,0.0,0.554,5.0,22.3,14.0,2.6,2.3,3.3,8.3,15.7
