,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
590,73.5,180,77.0,30.5,4,14,9,9,8,8,13,12,14,18,15,13,13,8,11,12.9,4.268,10.026,0.478,1.051,3.194,0.329,3.22,6.83,0.471,3.316,4.171,0.795,0.681,1.687,2.368,6.462,1.853,0.145,3.243,2.465,5.268,10.811,3.658,2.731,3.218,1.658,2.975,0.557,0.171,0.367,0.466,1.387,3.489,0.398,56.525,56.568,10.635,4.438,9.927,0.535,1.755,4.537,0.387,2.684,5.391,0.498,1.05,1.292,0.813,0.463,0.731,0.633,1.171,3.367,0.348,2.1,-0.2,1.9,0.544,0.319,0.416,2.6,6.5,4.6,37.5,3.3,0.5,21.5,24.1
591,72.5,170,79.0,26.0,6,9,14,10,6,5,16,14,17,8,19,7,18,10,12,9.374,3.499,7.974,0.459,0.324,1.351,0.24,3.176,6.628,0.479,2.05,3.449,0.594,0.324,1.076,1.4,6.274,1.176,0.099,3.075,1.85,0.25,9.188,3.5,1.049,2.55,1.4,2.5,0.56,0.35,0.525,0.667,1.426,3.6,0.396,47.272,48.018,7.35,3.027,7.625,0.482,1.3,4.174,0.311,1.725,3.45,0.5,0.501,0.599,0.836,0.35,0.525,0.667,0.874,2.324,0.376,1.9,0.7,2.5,0.494,0.169,0.433,1.6,4.9,3.3,44.3,2.5,0.4,24.5,24.5
592,76.0,210,80.0,35.0,14,6,9,9,8,6,12,13,9,17,7,6,18,9,10,11.291,4.842,9.525,0.512,0.078,0.395,0.197,4.762,9.132,0.521,1.528,3.236,0.472,0.844,2.05,2.894,3.421,1.184,0.29,4.13,2.736,-8.763,7.542,5.578,2.264,2.474,1.236,1.711,0.722,1.552,2.551,0.608,1.974,4.868,0.406,54.808,54.646,8.394,3.552,8.868,0.473,1.287,4.183,0.308,2.262,4.684,0.483,0.711,0.974,0.73,0.501,0.842,0.595,1.052,2.869,0.367,-1.9,1.3,-0.6,0.516,0.041,0.34,3.3,8.0,5.6,23.5,2.2,1.0,27.4,24.9
593,80.5,220,84.25,28.5,6,6,9,11,11,8,7,10,14,15,9,5,17,12,11,10.732,4.0,8.27,0.54,0.926,2.511,0.369,3.071,5.758,0.533,1.806,2.878,0.628,1.415,2.123,3.538,4.924,1.34,0.218,4.22,2.56,-4.463,9.998,3.805,2.61,2.366,1.367,1.754,0.779,0.512,0.78,0.656,1.171,3.22,0.364,58.232,58.704,10.755,4.586,9.633,0.558,1.585,4.414,0.359,3.001,5.22,0.575,0.805,1.0,0.805,0.514,0.78,0.659,1.684,3.44,0.49,-0.9,0.0,-0.9,0.563,0.304,0.348,5.1,8.5,6.7,28.7,2.3,0.7,30.7,21.0
594,78.5,225,84.0,33.0,10,12,15,7,5,5,8,10,17,15,6,10,16,18,11,12.534,4.133,8.312,0.619,2.022,5.067,0.399,2.113,3.243,0.652,2.245,2.733,0.821,0.801,2.019,2.82,6.536,1.955,0.133,2.443,2.201,14.132,12.684,3.155,4.045,1.802,1.044,1.177,0.887,0.533,0.777,0.686,0.533,1.288,0.414,55.725,55.443,9.0,3.733,8.754,0.514,1.534,4.376,0.351,2.202,4.377,0.503,0.822,1.042,0.789,0.332,0.735,0.452,1.044,2.601,0.401,2.9,0.9,3.8,0.659,0.61,0.329,3.3,7.9,5.7,33.8,3.5,0.5,20.4,19.4
595,73.5,190,79.0,29.0,6,13,8,14,6,7,15,9,11,16,19,10,13,9,11,14.62,5.524,11.812,0.472,0.095,0.358,0.265,5.43,11.451,0.474,3.478,4.24,0.82,0.407,1.736,2.143,3.644,1.285,0.095,4.096,3.093,2.76,9.784,4.525,1.81,3.357,1.906,2.785,0.684,0.358,1.022,0.35,3.167,7.644,0.414,57.803,57.685,8.525,3.547,8.265,0.516,1.429,4.025,0.355,2.118,4.239,0.5,0.739,0.833,0.887,0.429,0.69,0.622,0.952,2.713,0.351,-0.8,0.9,0.2,0.534,0.03,0.359,1.6,6.5,4.1,22.2,2.2,0.3,23.0,27.9
596,72.0,180,74.25,38.0,9,17,6,17,9,8,12,12,12,12,8,16,10,13,10,17.573,6.215,14.286,0.527,2.62,6.88,0.381,3.595,7.406,0.485,2.524,2.761,0.914,0.57,1.645,2.215,5.024,1.215,0.048,3.261,2.427,5.643,14.855,3.046,3.12,2.356,0.931,1.405,0.663,0.595,1.284,0.463,2.07,4.714,0.439,56.045,55.991,10.024,4.334,10.095,0.497,1.357,4.093,0.332,2.976,6.001,0.496,1.047,1.476,0.709,0.19,0.429,0.443,1.738,4.095,0.424,2.1,0.2,2.3,0.567,0.482,0.193,2.2,6.4,4.3,31.9,2.2,0.2,17.4,30.0
597,77.0,240,82.0,26.5,15,15,10,10,5,8,10,9,14,10,7,15,13,15,10,17.524,6.326,13.1,0.583,2.626,6.924,0.379,3.7,6.175,0.599,2.249,3.174,0.709,0.774,2.3,3.074,6.551,1.275,0.023,3.251,2.3,5.375,13.708,4.549,3.85,2.326,1.026,1.326,0.774,1.249,2.025,0.617,1.424,2.825,0.504,62.634,62.318,9.849,4.175,9.85,0.5,1.502,4.325,0.347,2.675,5.526,0.484,1.125,1.498,0.751,0.276,0.426,0.648,1.277,3.6,0.355,2.7,1.1,3.7,0.604,0.529,0.242,2.7,7.8,5.3,35.0,2.0,0.1,18.3,25.7
598,73.0,195,74.25,31.0,4,10,15,11,5,3,18,19,17,17,8,7,16,16,12,6.674,2.325,5.745,0.472,0.769,2.325,0.331,1.557,3.419,0.455,1.257,1.979,0.635,0.627,1.583,2.21,7.279,1.628,0.117,3.559,2.163,10.28,13.027,1.675,1.745,1.837,0.629,1.0,0.629,0.21,0.324,0.648,0.721,2.093,0.344,56.22,56.624,7.721,3.301,8.514,0.453,1.115,4.301,0.259,2.186,4.209,0.519,1.046,1.188,0.88,0.349,0.699,0.499,0.79,2.326,0.34,0.3,1.5,1.8,0.504,0.405,0.344,2.5,6.0,4.2,37.5,2.9,0.4,35.0,16.4
599,75.5,195,81.0,30.0,11,10,10,7,6,8,12,18,9,15,9,9,14,5,10,7.778,2.692,6.555,0.472,0.806,2.138,0.377,1.89,4.417,0.428,1.585,2.639,0.601,0.5,1.527,2.027,4.306,1.389,0.249,4.029,2.39,-2.638,10.195,2.611,1.585,2.25,1.138,1.75,0.65,0.167,0.473,0.353,0.581,2.194,0.265,52.063,52.433,9.223,3.695,9.473,0.487,1.833,5.138,0.357,1.861,4.333,0.429,0.721,1.111,0.649,0.277,0.555,0.499,0.861,2.665,0.323,-2.1,0.3,-1.8,0.504,0.326,0.403,2.2,6.2,4.3,26.7,2.7,0.9,34.3,20.7
