team_id,season_id,game_type,stat_type,conference_id,GW,GP,Min,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,OBPM,DBPM,BPM,AOBPM,ADBPM,ABPM,TS,_3PAr,FTr,ORtg,NetRtg,TO_P,FT_FG_A,ORB_P,DRB_P,SOS,RPI,Pace,PITP%
179,2044,College,team,26,32,43,201.162,82.069,30.604,62.907,0.54,6.675,18.117,0.368,23.931,44.789,0.534,14.185,20.768,0.683,9.837,28.489,38.326,12.836,7.581,3.768,11.978,13.394,74.187,8.793,36.788,8.279,17.397,3.744,5.395,0.694,14.583,26.278,0.555,5.536,13.117,0.422,74.183,5.1,8.1,13.2,3.7,5.9,9.6,0.57,0.288,0.33,110.6,19.4,14.3,0.225,28.1,79.3,,,75.01664,0.448
179,2045,College,team,13,11,41,200.61,71.317,26.267,59.097,0.498,6.293,18.294,0.344,19.976,40.804,0.49,12.488,18.073,0.691,6.95,25.074,32.024,11.171,4.807,3.097,13.88,13.975,-54.025,9.482,29.218,6.245,15.512,3.612,5.586,0.647,11.0,21.684,0.507,5.366,13.537,0.396,73.969,-4.0,-3.0,-7.0,-0.2,0.0,-0.2,0.532,0.31,0.306,96.4,-14.4,17.2,0.211,19.9,73.3,0.553,0.482,74.70204,0.41
179,2046,College,team,27,30,42,200.595,79.595,29.692,62.595,0.533,7.334,21.024,0.349,22.358,41.572,0.538,12.881,18.499,0.696,8.808,27.169,35.977,14.454,6.143,4.261,11.789,15.452,43.93,9.285,34.476,7.144,16.332,3.881,5.501,0.706,13.31,22.645,0.588,5.12,13.427,0.381,73.709,3.8,2.0,5.8,1.2,0.8,2.0,0.563,0.336,0.296,108.0,10.6,14.3,0.206,25.1,77.4,0.517,0.572,74.45552,0.433
180,2044,College,team,26,17,42,201.19,84.025,30.381,65.501,0.529,8.547,22.859,0.374,21.833,42.644,0.512,14.713,20.191,0.729,8.547,27.192,35.739,13.81,7.667,2.831,13.571,16.595,0.95,10.258,31.525,10.62,16.858,4.047,5.835,0.694,11.714,22.594,0.518,6.073,14.216,0.427,79.408,1.1,-0.2,0.9,1.3,0.3,1.6,0.565,0.349,0.308,105.8,0.6,15.4,0.225,23.0,74.3,,,80.21668,0.375
180,2045,College,team,52,37,46,200.0,88.413,32.763,67.24,0.546,7.957,22.718,0.35,24.803,44.522,0.557,14.935,20.805,0.718,10.197,27.999,38.196,15.828,9.87,2.978,11.152,14.282,95.762,9.079,38.698,10.652,16.892,4.48,6.282,0.713,14.826,26.001,0.57,5.457,12.238,0.446,77.349,6.8,9.6,16.5,1.1,1.8,2.9,0.579,0.338,0.309,114.3,24.7,12.7,0.222,28.0,77.5,0.459,0.537,78.1814,0.438
180,2046,College,team,26,29,43,200.581,87.16,30.884,65.001,0.541,8.628,22.325,0.386,22.255,42.675,0.521,16.769,22.744,0.737,8.232,24.418,32.65,14.859,7.883,2.628,11.231,16.838,17.559,10.413,32.789,8.346,17.815,4.371,6.233,0.701,12.021,21.977,0.547,5.86,14.466,0.405,78.016,5.2,-1.5,3.7,1.0,-0.7,0.3,0.581,0.343,0.35,111.7,4.5,13.0,0.258,22.5,70.5,0.48,0.534,78.91712,0.376
181,2044,College,team,14,19,41,200.0,83.246,30.536,66.707,0.534,10.219,27.927,0.366,20.316,38.781,0.524,11.95,16.171,0.739,9.171,28.708,37.879,15.585,6.025,2.976,14.878,18.049,-7.683,11.492,27.512,6.95,14.538,2.683,3.854,0.696,11.073,20.976,0.528,6.56,13.951,0.47,79.529,-0.3,-3.4,-3.7,0.0,-2.3,-2.3,0.564,0.419,0.242,104.7,-2.0,16.8,0.179,24.7,78.7,,,80.17608,0.33
181,2045,College,team,29,15,41,200.609,86.829,32.439,69.439,0.536,9.61,25.537,0.376,22.83,43.901,0.52,12.341,17.365,0.711,9.512,28.511,38.023,17.218,5.441,2.219,13.609,18.123,-10.976,10.319,34.929,7.317,14.953,3.098,4.463,0.694,14.366,26.195,0.548,5.367,13.245,0.405,81.184,1.6,-5.0,-3.5,0.7,-0.9,-0.2,0.563,0.368,0.25,107.0,-2.3,15.0,0.178,24.5,77.3,0.52,0.488,81.8712,0.402
181,2046,College,team,29,22,41,200.0,86.024,31.951,68.073,0.523,7.317,19.856,0.369,24.636,48.219,0.511,14.806,20.024,0.739,8.437,29.1,37.537,15.904,5.805,2.416,11.22,17.78,9.877,9.126,37.512,7.173,16.462,3.878,6.097,0.636,14.878,27.61,0.539,5.877,14.512,0.405,79.669,2.9,-3.3,-0.4,1.0,-0.6,0.4,0.559,0.292,0.294,108.0,2.2,12.7,0.218,22.3,80.2,0.516,0.527,80.46752,0.436
182,2044,College,team,48,30,43,202.328,81.186,30.697,61.301,0.558,7.023,19.372,0.363,23.674,41.929,0.565,12.767,17.769,0.718,8.443,27.185,35.628,15.513,6.535,3.258,13.115,15.627,34.302,9.108,34.652,7.863,15.442,4.022,5.511,0.73,13.257,22.069,0.601,6.347,14.349,0.442,73.793,3.9,0.6,4.5,2.1,-0.3,1.8,0.587,0.316,0.29,110.0,9.2,15.9,0.208,26.2,78.0,,,74.50212,0.427
