,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,POT,PTS,FG_M,FG_A,eFG_P,_3P_M,_3P_A,_3P_P,_2P_M,_2P_A,_2P_P,FT_M,FT_A,FT_P,Off,Def,Rebs,AST,STL,BLK,TO,PF,PLUS,DIST,PITP,FBP,FD,F_M,F_A,F_P,IS_M,IS_A,IS_P,MR_M,MR_A,MR_P,Poss,O_Poss,O_PTS,O_FG_M,O_FG_A,O_eFG_P,O_3P_M,O_3P_A,O_3P_P,O_2P_M,O_2P_A,O_2P_P,O_F_M,O_F_A,O_F_P,O_IS_M,O_IS_A,O_IS_P,O_MR_M,O_MR_A,O_MR_P,OBPM,DBPM,BPM,OEPM,DEPM,EPM,TS,_3PAr,FTr,ORB_P,DRB_P,TRB_P,AST_P,STL_P,BLK_P,TO_P,USG_P
372,75.0,205,80.25,31.5,8,10,12,15,5,9,10,16,9,12,7,5,13,9,11,9.636,3.7458637709772957,8.317630799605134,0.535,1.4052517275419545,3.996841066140178,0.352,2.3384007897334658,4.323000987166832,0.541,1.7601579466929917,2.387048371174729,0.737,1.0293385982230998,2.860176146643075,3.8895147448661747,0.8800789733464959,1.6199129207340108,0.10242748364778624,1.005014807502468,1.6444064494323947,10.525,12.646,2.8160315893385985,0.7031786771964463,1.9602764067127347,0.20122408687068116,0.30294175715695965,0.664,1.2051332675222113,2.1393879565646596,0.563,0.9287265547877592,1.8850937808489636,0.493,50.65,50.299,9.237400345931333,3.8710908765581826,9.615936698542715,0.48,1.4918785661742782,4.60478339529613,0.324,2.3769856259567788,5.011153303246586,0.474,0.30505576651623295,0.40525656573689345,0.753,0.9374341438199568,1.4662716952623314,0.639,1.1389490844748404,3.136285015606673,0.363,0.7,-0.2,0.6,5.1,4.3,9.4,0.569,0.481,0.287,3.9,10.6,7.3,4.5,2.9,0.4,9.7,16.5
373,79.0,235,84.0,26.5,8,15,19,15,14,12,14,12,11,13,6,16,16,13,14,15.432,4.94942437748447,11.147768924988386,0.564,2.6838292233828365,6.536593760217516,0.411,2.2655951541016335,4.61117516477087,0.491,2.2925779972810654,2.75899571509697,0.831,1.3289050265870492,3.900507090674689,5.229412117261738,1.7972500903443411,1.4843489471422435,0.07797163730124625,1.667154239300649,1.691310700472712,8.028,14.133,3.228304451824956,1.5091118721068304,2.2135568136841566,0.5203834041747691,0.6244600850097229,0.833,1.0667859785582765,2.1094801328492028,0.506,0.6504792552184613,1.8743439279998628,0.347,58.111,58.175,7.1810915341641595,2.93981951009884,8.819458530296522,0.407,1.3004899011602926,4.683111302105717,0.278,1.6383669961323595,4.136347228190804,0.396,0.3638676407391492,0.4418392780403954,0.824,0.3369144821658788,0.9645380318006018,0.349,0.9366222604211433,2.7318951439621832,0.343,1.9,1.9,3.8,1.1,6.5,7.5,0.602,0.586,0.247,5.4,15.1,10.4,10.6,2.6,0.3,11.9,22.7
374,73.5,185,77.0,33.0,6,15,16,16,5,8,8,15,5,16,14,9,11,15,11,14.807,4.97729052466719,11.52088795069967,0.519,2.0105546287153997,5.242313846991931,0.384,2.96673589595179,6.276667461101087,0.473,2.144972932484424,2.6502332232474215,0.809,0.740730652684621,2.6927043184815935,3.4334349711662147,0.7149909774948079,0.7731812186306252,0.02590061154221697,1.4032889584964763,2.425064665878685,-0.194,13.032,3.496782540601274,0.7941166456709,2.0687072282183108,0.5557863198392973,1.0067072963126895,0.552,1.1916516291580133,2.3051309114432605,0.517,1.2173913043478262,2.9657825746484634,0.41,58.742,58.377,9.298319543655891,3.9714271031399355,8.340956198502836,0.558,1.3593024650119057,3.40928790448293,0.399,2.611165356219059,4.929749730201964,0.53,0.4527810610343115,0.4796409544854994,0.944,0.9602411908799698,1.5991229422546551,0.6,1.2000616681227194,2.8519451153707798,0.421,0.5,-1.1,-0.6,-3.1,-3.7,-6.8,0.556,0.455,0.23,2.8,10.1,6.5,4.3,1.4,0.1,10.0,22.5
375,74.0,195,77.25,25.0,6,16,15,11,8,11,9,17,9,10,11,4,5,14,11,12.902,4.372808238241024,12.139437795713889,0.465,2.542443640411912,7.84066239910938,0.324,1.8313387141664348,4.301697745616477,0.426,1.2819370999165043,1.7826328973003065,0.719,1.0695797383801837,3.4043829215990518,4.473962659979236,1.0452268299471195,0.9558046688401123,0.09567809759584373,1.7115224046757584,2.2865112711170004,-12.829,16.611,1.6637907041469524,1.2585583078207627,1.9238797662120795,0.11786807681603116,0.21430559421096582,0.55,0.714027275257445,1.8995268577790148,0.376,0.9984692457556359,2.1868911772891737,0.457,57.488,57.359,10.023745183842117,4.167855088129152,9.478965811816805,0.529,1.691940236057114,4.786833801147161,0.353,2.474938544953713,4.690179396432993,0.528,0.33487334158545307,0.38075977614672507,0.879,0.7605432451751251,1.1891420701197721,0.64,1.3814745724297843,3.1202775501664957,0.443,-0.5,-0.4,-0.9,-4.0,-3.3,-7.3,0.486,0.646,0.147,4.0,13.3,8.5,7.4,1.7,0.3,11.7,23.5
376,78.0,215,80.25,26.0,9,12,11,14,15,14,10,7,9,16,4,10,14,10,11,5.09,2.22499162479062,5.69817978782803,0.451,0.694137353433836,2.3350530429927416,0.297,1.528352875488554,3.3643774427694026,0.454,1.2219318816303741,1.6108989391401456,0.759,1.0580904522613068,4.477446466091466,5.535536918352772,1.1669011725293132,1.361884751218204,0.22406008315078904,1.7247124511446121,1.727390585184854,3.29,11.574,1.7797431602456733,1.4170407593523173,1.585884980457845,0.4177331099944166,0.5002791736460079,0.835,0.4702624232272474,1.2244332774986042,0.384,0.639106644332775,1.6409156895589059,0.389,44.775,44.738,8.621932138227013,3.5035987303858014,8.817202378291386,0.489,1.6122312128391973,4.423621976842952,0.364,1.8901157852385,4.393580401448434,0.43,0.27788457239930264,0.3880370155125397,0.716,0.5019446555500917,1.2542357727211768,0.4,1.1127900219053155,2.7538110778309277,0.404,-1.8,1.3,-0.4,0.2,2.4,2.6,0.497,0.41,0.283,4.2,17.1,10.8,5.8,2.4,0.7,21.2,13.1
377,76.5,185,80.0,31.0,14,16,8,10,6,10,9,14,15,7,13,11,10,7,11,10.151,4.208898814636661,9.619137605222472,0.514,1.474317127641299,3.7567428276928374,0.392,2.734581686995362,5.862394777529635,0.466,2.3148943480501636,2.7369867720322967,0.846,0.8117161999656418,2.615789473684211,3.427505673649853,1.5633052740079028,1.1302207130730053,0.08913412563667233,1.4442535646796086,1.840916808149406,-2.525,12.884,2.7658477924755203,1.354062875794537,1.9517265074729433,0.210444940731833,0.3006356296169044,0.7,1.1712764129874593,2.5566053942621543,0.458,1.3528603332760696,3.0063562961690438,0.45,46.568,47.12,8.764855687606113,3.6247877758913414,8.88370118845501,0.493,1.5140916808149407,4.278438030560272,0.354,2.108319185059423,4.604074702886249,0.458,0.32801358234295425,0.4718166383701189,0.695,0.4765704584040748,0.9519524617996608,0.501,1.3073005093378611,3.1779286926994907,0.411,0.8,-0.4,0.4,1.4,0.5,1.9,0.564,0.391,0.285,3.4,10.1,6.9,10.0,2.0,0.3,11.8,20.0
378,74.0,190,75.0,30.5,9,13,7,15,11,9,8,14,5,7,13,8,17,16,11,11.35,4.213948111122447,8.117515046414363,0.524,0.07235880172736239,0.21326804719643652,0.339,4.141589309395083,7.902342820225103,0.524,2.3088170288007075,3.189499812982421,0.724,1.095855010370975,4.530618467636746,5.626473478007721,0.6655105579924514,0.9476733352531636,0.11857774465129674,2.0717467441939545,2.277641319262108,-8.025,8.134,4.42626406882247,0.9511374069162503,2.4754326906729234,0.49984698561664803,0.49984698561664803,1.0,1.7137610935427934,3.546533374137169,0.483,1.92702914073923,3.855962460471285,0.5,58.818,59.033,9.10677078921959,3.7944878288414956,8.70170921349076,0.523,1.516846509579388,4.5761523215828435,0.331,2.2766926973048975,4.126505513865126,0.552,0.16600884251181544,0.30735351413616113,0.54,0.9021394813070657,1.3043551911642641,0.692,1.2094929954432267,2.5138481866074907,0.481,-1.0,0.9,-0.1,-7.0,-2.5,-9.4,0.568,0.026,0.393,4.7,16.8,11.3,4.1,1.7,0.4,17.9,19.1
379,74.0,205,79.0,42.0,13,17,17,9,7,7,10,8,10,14,10,7,9,15,11,19.578,6.648138617258535,14.158037399210844,0.585,3.2606622062103283,8.016194887630812,0.407,3.389397838394236,6.143763938926059,0.552,2.250952135872363,2.4248413106879396,0.928,1.2911991765311377,4.118522583078981,5.409721759610118,0.3285640761708698,0.9362460989745877,0.1248328131966117,1.3670955566992624,1.8696114407215612,0.762,14.903,4.196397323726197,1.1615028306742152,2.072259392691714,0.35354263166924,0.5062961056785041,0.698,1.7446560301938587,3.236644364384972,0.539,1.2892777491851093,2.4027448962086124,0.537,58.29,58.318,10.058643986419288,4.195342775815358,9.626530402277172,0.522,1.6679584347885734,4.421962344387668,0.377,2.52642408861758,5.207448815117116,0.485,0.22757982098151516,0.2784731986693645,0.817,0.8094927809595667,1.5920984944614014,0.508,1.492232243904112,3.3349566171679412,0.447,2.1,0.3,2.4,-2.3,-1.5,-3.8,0.618,0.566,0.171,5.2,15.7,10.6,2.2,1.7,0.4,8.2,26.6
380,70.0,150,75.0,28.5,8,17,11,10,6,4,6,11,9,15,16,7,10,14,11,15.94,6.2857248698809025,15.874048417270188,0.46,2.044416455203838,5.720424530922966,0.357,4.244420159662153,10.151549389690496,0.418,1.9178721591435297,2.232158402637575,0.859,1.2239530274685586,3.4566493251624615,4.680602352631021,1.5434255126044196,1.2876900005554222,0.06220724640364357,1.730130211709793,2.0424712569196304,-9.788,12.67,4.337772509214841,1.5102335660967978,2.044416455203838,1.0040563818555632,1.6025486673211211,0.627,1.1617181277667676,3.4581859267628596,0.336,2.074496656726371,5.093926540591601,0.407,53.989,54.013,9.801788458334107,4.208320219206488,8.766037805713442,0.559,1.3830744450410088,3.707551885657157,0.373,2.8293929239257216,5.057449132616222,0.559,0.34525021754022184,0.4084942513839262,0.845,0.9113361598133783,1.1000314739044303,0.828,1.5707329716920002,3.5499601947679262,0.442,0.9,-0.5,0.4,-2.2,-1.9,-4.1,0.49,0.36,0.141,4.7,12.4,8.7,13.4,2.3,0.2,9.3,30.2
381,77.0,200,84.0,29.5,10,14,7,6,8,7,8,16,9,15,14,14,11,5,11,13.975,5.107112375533428,11.310526315789474,0.511,1.3512091038406828,4.034708392603129,0.335,3.752916073968706,7.275817923186344,0.516,2.346941678520626,2.8597439544807965,0.821,0.842389758179232,3.612203962416863,4.454593720596095,1.327311522048364,1.4149276841327374,0.12612168772213816,2.0442389758179234,1.8701481507548299,-9.487,11.752,4.493741109530584,1.1470839260312944,2.3997155049786634,0.4590327169274539,1.0236130867709816,0.448,1.7863442389758182,3.037980085348507,0.588,1.505547652916074,3.219203413940256,0.468,56.24,56.834,9.018685997818208,3.7905479114614495,9.121159869092445,0.495,1.4415314776366261,4.346271597987121,0.332,2.3500017595101523,4.772917619734667,0.492,0.25421402681493477,0.35570257240384273,0.715,0.7074638420663687,1.1873174508216913,0.596,1.3893092163141783,3.23285357356512,0.43,0.0,0.4,0.4,-4.0,0.5,-3.5,0.554,0.357,0.253,3.4,13.5,8.7,9.1,2.5,0.4,14.0,23.5
382,77.0,215,82.25,35.5,6,7,5,10,16,10,18,6,5,18,12,8,16,14,10,9.633,3.642371640698526,7.520931367423056,0.489,0.0712468193384224,0.2391160375056642,0.298,3.571124821360103,7.284743281397052,0.49,2.0495660357628362,2.76203422914706,0.742,1.6425807800899301,5.5926767155344494,7.23525749562438,0.8100665760395971,1.6911005575056781,0.4471057884231538,1.9031684617797762,1.8096221350402641,-6.318,6.104,4.5734602112307865,0.8100665760395971,2.2847781379622853,0.665620969709645,0.9057129910418629,0.735,1.595733556415351,3.2851615601798603,0.486,1.286346683397818,3.097772665481544,0.415,57.378,58.116,6.156376901369675,2.797301947828481,6.911831509395004,0.445,0.5637001858352261,2.0669006813958295,0.273,2.2326381719319985,4.84300364787666,0.461,0.16477390047491228,0.28233188794824143,0.584,1.3644435267396242,2.726959873356735,0.5,0.7043843347787185,1.8327482965104276,0.384,-0.9,3.4,2.4,-0.7,8.1,7.4,0.538,0.032,0.367,7.0,22.9,15.1,4.8,3.0,1.4,17.9,17.2
383,72.5,175,77.0,28.0,9,13,13,10,3,3,5,9,14,14,7,6,11,8,10,12.549,4.230342322771168,9.909132567335925,0.537,2.1850274095823226,5.917346956093753,0.369,2.0434140628977784,3.991785611242172,0.512,1.2830739464706982,1.6870046333225843,0.761,0.45145194412857903,2.090013062581641,2.54146500671022,1.0445172349417016,0.5956537228357678,0.04845030281439259,1.3305952037473907,2.185013656335352,-9.675,15.688,2.2810203492812415,0.8553826309804655,1.7354763157448112,0.2128952325995825,0.23855671152899646,0.892,0.927614942041038,1.803906926223248,0.514,0.9029038882571581,1.9483715483443935,0.463,58.921,58.947,11.826623916399477,4.914380714879469,10.378814867592924,0.57,1.9950124688279305,4.8697304358152245,0.41,2.922218263864149,5.5090844317776995,0.53,0.33440209001306254,0.4047025293908087,0.826,1.116256976606104,1.8762617266357915,0.595,1.47250920318252,3.2309701935637096,0.456,0.2,-2.4,-2.1,-1.7,-7.8,-9.5,0.56,0.597,0.17,1.8,8.6,5.1,6.1,1.1,0.1,11.1,19.7
384,73.5,190,74.0,28.0,7,11,16,12,10,7,8,14,7,11,7,3,10,12,10,12.512,4.813483783400524,12.340578976156232,0.521,3.238863116099103,8.77159005733039,0.369,1.5757551202317526,3.5701233717561736,0.441,1.3307132872799465,2.0499564451107104,0.649,0.9676883495735672,2.9305552746030146,3.898243624176582,1.0232765431598567,0.3590978051987458,0.08382724790128451,1.133318477402103,2.3471629412359665,3.243,17.611,1.4929400563174848,0.8848732856592997,1.9115531876101535,0.11004193424224623,0.1384032575005571,0.795,0.6364280939164962,1.4940745092478174,0.426,0.8304195450033427,1.938780057938132,0.428,49.363,49.435,10.139698594113483,4.3114392636795795,10.499929199959542,0.483,1.5213512693435827,4.612764235865278,0.33,2.7900879943359973,5.882633761505006,0.474,0.1653888945079397,0.3319105896631941,0.498,0.9413573379184789,1.5734600991200567,0.598,1.6856073632042077,3.9783958733690703,0.424,1.1,-0.5,0.7,-1.0,-4.0,-5.0,0.536,0.711,0.166,3.9,11.0,7.6,6.2,0.6,0.3,7.9,23.2
385,70.5,150,76.0,30.0,4,14,8,16,4,9,8,9,10,17,15,6,14,12,10,12.906,4.429090122522132,9.147165613460439,0.507,0.41184741127574437,1.0927800009270274,0.377,4.0189731625542695,8.054385612533412,0.499,1.8948441821300004,2.266025987670535,0.836,1.1741112123974475,1.341317365269461,2.515428577666909,1.3809001436892607,0.9479335901839733,0.0615203701124882,1.400800333729895,1.940057868758607,5.738,9.667,3.623565038703398,0.9067564853297901,1.9969408092949956,0.7622638011217034,1.0495187182299957,0.726,1.0495187182299957,2.245260571975959,0.467,2.2063254175486304,4.758741096673516,0.464,64.723,64.629,9.840659765739838,4.0629438796824955,8.830339321357286,0.557,1.7130390382026646,4.229308824212041,0.405,2.353370777824197,4.600164013059153,0.512,0.30846833464853235,0.43237555895960017,0.713,0.6602608736016341,1.1541568026737226,0.572,1.3820421173157562,3.0144981355119222,0.458,0.6,-2.4,-1.8,0.6,-4.0,-3.4,0.55,0.119,0.248,4.5,5.1,4.8,7.7,1.7,0.2,12.1,18.3
386,73.5,195,79.0,33.0,5,18,14,4,3,11,13,14,7,13,15,7,11,6,11,15.1,4.872642515962773,11.902631190190899,0.521,2.667498317548381,6.619109367562333,0.403,2.20698258457397,5.284441015708353,0.418,1.4716281207425765,1.9762651215468707,0.745,0.7114554437568735,2.7480786211858588,3.459534064942732,0.7574150977463356,1.281093632468849,0.09157209667397063,1.2638904847102082,1.5329168983222683,1.649,16.815,1.7005071976100983,1.2170116376409568,1.4955271408170971,0.29873775093150373,0.5515158478735454,0.542,0.5524350409533345,1.5396484086469808,0.359,1.354890599609343,3.1941959522676164,0.424,60.923,61.154,8.928279425712137,3.549334467083102,8.562906759982994,0.521,1.8323576544461522,4.6921542335742545,0.391,1.7151453707034698,3.869836805441999,0.443,0.29669359322366484,0.3873499689308958,0.766,0.4120744350328679,0.8241488700657358,0.5,1.0082087843804166,2.6546750825784087,0.38,0.5,-0.6,-0.1,1.3,1.2,2.6,0.543,0.556,0.166,2.8,9.7,6.4,4.6,2.3,0.3,9.0,22.8
